price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,construction_year,neighborhood,city,climatisation,parabole_tv,pool,handicapped_access,parking,garage,garden,fireplace,interphone,terrace,electric_heating,elevator,alarm_system,internet_access,sea_view,furnished,central_heating,kitchen_equipped
385000.0,Appartement,2,1,3,109.0,0.0,2022.0,Hammamet,Nabeul,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
450000.0,Appartement,3,2,4,125.0,0.0,,Nabeul,Nabeul,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0
230000.0,Appartement,1,1,1,46.0,0.0,,Jardin De Carthage,Tunis,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0
185000.0,Appartement,2,1,3,96.0,0.0,,Centre Ville - Lafayette,Tunis,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
288000.0,Appartement,2,2,2,96.0,96.0,,Hammam Sousse,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235000.0,Appartement,1,,1,42.0,42.0,,Hammam Sousse,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
380000.0,Appartement,1,1,2,85.0,85.0,,Monastir,Monastir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
250000.0,Appartement,2,1,3,115.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
363.0,Appartement,2,2,3,104.0,104.0,,Nabeul,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
320000.0,Appartement,3,1,,120.0,0.0,,Sahloul,Sousse,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1
230000.0,Appartement,,,,0.0,0.0,,Les Berges Du Lac,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
259000.0,Appartement,,,,0.0,0.0,,Menzah,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240000.0,Appartement,3,1,4,125.0,0.0,,La Soukra,Ariana,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
750.0,Appartement,1,1,3,150.0,160.0,,Centre Ville - Lafayette,Tunis,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1
337000.0,Appartement,2,1,,116.0,0.0,,Sahloul,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85000.0,Appartement,1,1,,90.0,90.0,,Bouficha,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105000.0,Appartement,1,1,2,60.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
320000.0,Appartement,3,1,4,93.0,0.0,,Dar Ch'abane El Fehri,Nabeul,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
269100.0,Appartement,2,1,1,117.0,0.0,,Medina Jedida,Ben Arous,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
230000.0,Appartement,1,1,2,55.0,0.0,,La Soukra,Ariana,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
220000.0,Appartement,2,1,3,90.0,0.0,2025.0,Hammamet Nord,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
360000.0,Appartement,2,2,3,117.0,0.0,,Menzah,Ariana,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0
105000.0,Appartement,1,1,2,65.0,0.0,,El Mourouj,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
595000.0,Appartement,,,,0.0,0.0,,Mrezga,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
870000.0,Appartement,7,4,10+,360.0,0.0,2023.0,Hammamet Nord,Nabeul,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
385000.0,Appartement,2,1,3,109.0,0.0,2022.0,Hammamet,Nabeul,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
250000.0,Appartement,2,2,2,115.0,115.0,,Medina Jedida,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
365000.0,Appartement,2,1,3,114.0,0.0,,Hammamet Sud,Nabeul,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
127000.0,Appartement,2,1,2,90.0,90.0,,Téboulba,Monastir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
595000.0,Appartement,2,1,2,153.0,153.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
560000.0,Appartement,3,1,4,180.0,0.0,,Hammamet Sud,Nabeul,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0
619500.0,Appartement,2,1,3,0.0,0.0,,Aïn Zaghouan,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230000.0,Appartement,2,1,3,110.0,0.0,2022.0,Hammamet Sud,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300000.0,Appartement,4,1,4,160.0,0.0,,Sidi El Béchir,Tunis,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
140000.0,Appartement,1,1,2,55.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
690000.0,Appartement,3,2,4,160.0,250.0,2024.0,Hammamet,Nabeul,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
335000.0,Appartement,4,,5,235.0,235.0,,Cité El Khadra,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430000.0,Appartement,2,,2,130.0,130.0,,La Soukra,Ariana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,2,1,3,115.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
690000.0,Appartement,3,2,4,250.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490000.0,Appartement,3,2,4,160.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180000.0,Appartement,3,1,,85.0,0.0,,Radès,Ben Arous,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330000.0,Appartement,2,,2,88.0,88.0,,Hergla,Sousse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
450000.0,Appartement,3,2,4,125.0,0.0,,Nabeul,Nabeul,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
520000.0,Appartement,2,1,3,164.0,87.0,,Hammamet,Nabeul,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
1600.0,Appartement,2,1,,90.0,90.0,,L'aouina,Tunis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
430000.0,Appartement,2,1,3,117.0,0.0,2015.0,Mahdia,Mahdia,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0
245000.0,Appartement,1,1,2,74.0,0.0,2024.0,Mrezga,Nabeul,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
270000.0,Appartement,1,1,2,56.0,0.0,2023.0,Mrezga,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155000.0,Appartement,1,1,2,74.0,74.0,,Mahdia,Mahdia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
730000.0,Appartement,4,,5,288.0,288.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
250000.0,Appartement,1,1,2,72.0,109.0,,Mrezga,Nabeul,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
190000.0,Appartement,2,1,2,110.0,85.0,2024.0,Kélibia,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255000.0,Appartement,2,1,2,83.0,85.0,2024.0,Kélibia,Nabeul,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
320000.0,Appartement,1,1,2,76.0,0.0,,Hammamet,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
210000.0,Appartement,1,1,1,75.0,85.0,2024.0,Kélibia,Nabeul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260000.0,Appartement,1,1,1,56.0,85.0,2024.0,Kélibia,Nabeul,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
260000.0,Appartement,1,1,2,59.0,0.0,2024.0,Ennasr,Ariana,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
180000.0,Appartement,1,1,1,65.0,85.0,2024.0,Kélibia,Nabeul,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
