price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,has_many_total_rooms,area_ratio,neighborhood_encoded,city_encoded
595000.0,Appartement,3,2,7,140.0,140.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0.0,0,0,0,1.0,369792.11824060156,458175.61991505267
185000.0,Appartement,3,2,7,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
385000.0,Appartement,2,1,5,109.0,109.0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
450000.0,Appartement,3,2,7,125.0,125.0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
230000.0,Appartement,1,1,4,46.0,46.0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,493706.44876390987,421175.1741721047
185000.0,Appartement,2,1,5,96.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,228600.95933359727,421175.1741721047
288000.0,Appartement,2,2,6,96.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,335472.19423719094,363576.0441760572
235000.0,Appartement,1,1,4,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,335472.19423719094,363576.0441760572
380000.0,Appartement,1,1,4,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1.0,379221.5362434465,346617.9810001233
250000.0,Appartement,2,1,5,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
320000.0,Appartement,3,1,6,120.0,120.0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
240000.0,Appartement,3,1,6,125.0,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,478486.5117261625,427787.78534561204
337000.0,Appartement,2,1,5,116.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,384159.0915785051,363576.0441760572
85000.0,Appartement,1,1,4,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,527329.1937902655,363576.0441760572
105000.0,Appartement,1,1,4,60.0,60.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
320000.0,Appartement,3,1,6,93.0,93.0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0.0,0,0,0,1.0,332320.45881297014,458175.61991505267
269100.0,Appartement,2,1,5,117.0,117.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,302831.00508966454,338241.03960251884
230000.0,Appartement,1,1,4,55.0,55.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.0,0,0,0,1.0,478486.5117261625,427787.78534561204
220000.0,Appartement,2,1,5,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
360000.0,Appartement,2,2,6,117.0,117.0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0.0,0,0,0,1.0,624255.1498164801,427787.78534561204
105000.0,Appartement,1,1,4,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,327412.3889619764,338241.03960251884
385000.0,Appartement,2,1,5,109.0,109.0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
250000.0,Appartement,2,2,6,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,302831.00508966454,338241.03960251884
365000.0,Appartement,2,1,5,114.0,114.0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,1.0,699111.9161092994,458175.61991505267
127000.0,Appartement,2,1,5,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,283083.64546766964,346617.9810001233
595000.0,Appartement,2,1,5,153.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
560000.0,Appartement,3,1,6,180.0,180.0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0.0,0,0,0,1.0,699111.9161092994,458175.61991505267
619500.0,Appartement,2,1,5,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,375954.08769712166,421175.1741721047
230000.0,Appartement,2,1,5,110.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,699111.9161092994,458175.61991505267
300000.0,Appartement,4,1,7,160.0,160.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1.0,334791.77814321534,421175.1741721047
140000.0,Appartement,1,1,4,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
335000.0,Appartement,4,1,7,235.0,235.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,347018.9929336677,421175.1741721047
430000.0,Appartement,2,1,5,130.0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,478486.5117261625,427787.78534561204
250000.0,Appartement,2,1,5,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
490000.0,Appartement,3,2,7,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
180000.0,Appartement,3,1,6,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,339910.0407131743,338241.03960251884
330000.0,Appartement,2,1,5,88.0,88.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,290842.93967300083,363576.0441760572
450000.0,Appartement,3,2,7,125.0,125.0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
520000.0,Appartement,2,1,5,164.0,87.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.0,0,0,0,1.8850574712643677,505122.7574394545,458175.61991505267
430000.0,Appartement,2,1,5,117.0,117.0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
245000.0,Appartement,1,1,4,74.0,74.0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,1.0,369792.11824060156,458175.61991505267
270000.0,Appartement,1,1,4,56.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,369792.11824060156,458175.61991505267
155000.0,Appartement,1,1,4,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,304754.76152613765,309926.87634067703
250000.0,Appartement,1,1,4,72.0,109.0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,0.6605504587155964,369792.11824060156,458175.61991505267
190000.0,Appartement,2,1,5,110.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.2941176470588236,241369.33862330383,458175.61991505267
255000.0,Appartement,2,1,5,83.0,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9764705882352941,241369.33862330383,458175.61991505267
320000.0,Appartement,1,1,4,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
210000.0,Appartement,1,1,4,75.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.8823529411764706,241369.33862330383,458175.61991505267
260000.0,Appartement,1,1,4,56.0,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0.6588235294117647,241369.33862330383,458175.61991505267
260000.0,Appartement,1,1,4,59.0,59.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,424019.62782748754,427787.78534561204
180000.0,Appartement,1,1,4,65.0,85.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.7647058823529411,241369.33862330383,458175.61991505267
260000.0,Appartement,1,1,4,59.0,59.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,424019.62782748754,427787.78534561204
340000.0,Appartement,3,1,6,104.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,319271.50855692173,421175.1741721047
185000.0,Appartement,2,1,5,75.0,75.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0,0,0,1.0,505122.7574394545,458175.61991505267
480000.0,Appartement,2,2,6,200.0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,379221.5362434465,346617.9810001233
150000.0,Appartement,1,1,4,43.0,43.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
380000.0,Appartement,2,1,5,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
260000.0,Appartement,1,1,4,55.09,55.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
186000.0,Appartement,2,1,5,85.0,85.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,241369.33862330383,458175.61991505267
186000.0,Appartement,2,1,5,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
490000.0,Appartement,3,2,7,104.0,106.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.9811320754716981,505122.7574394545,458175.61991505267
185000.0,Appartement,3,2,7,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,452874.0964804659,458175.61991505267
235000.0,Appartement,2,1,5,150.0,285.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0.5263157894736842,452874.0964804659,458175.61991505267
250000.0,Appartement,5,1,8,170.0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,261665.39809701685,318655.5515300233
200000.0,Appartement,3,1,6,114.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,261665.39809701685,318655.5515300233
420000.0,Appartement,3,3,8,130.0,130.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0,0,0,1.0,624255.1498164801,427787.78534561204
450000.0,Appartement,1,1,4,84.0,33.0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0.0,0,0,0,2.5454545454545454,558707.4744327647,458175.61991505267
450000.0,Appartement,1,1,4,84.0,84.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
199000.0,Appartement,1,1,4,57.0,57.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
600000.0,Appartement,3,1,6,160.0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.0,335472.19423719094,363576.0441760572
250000.0,Appartement,2,1,5,90.0,90.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,1.0,558707.4744327647,458175.61991505267
